nodes,total,in_o1,in_o2,in_o3,exec_o1,exec_o2,exec_o3,out_o1,out_o2,out_o3,critical_path,individuals_stor,individuals_merge_stor,sifting_stor,frequency_stor,mutation_overlap_stor,in_individuals,read_individuals,write_individuals,out_individuals,in_individuals_merge,read_individuals_merge,write_individuals_merge,out_individuals_merge,in_sifting,read_sifting,write_sifting,out_sifting,in_frequency,read_frequency,write_frequency,out_frequency,in_mutation_overlap,read_mutation_overlap,write_mutation_overlap,out_mutation_overlap
5,405.44148220181364,155.4700888053327,0.0,0.0,18.361903310564266,15.595008483937173,0.6920081858864919,0.0,215.10835804392232,0.2141153721707333,stage_in_individuals->read_individuals->write_individuals->read_sifting->write_sifting->stage_out_sifting->read_frequency->write_frequency->stage_out_mutation_overlap,tmpfs,tmpfs,beegfs,beegfs,tmpfs,155.470089,18.361113,0.000790,-,-,0.090208,0.001880,0.374743,-,15.592181,0.002827,215.108358,-,0.410046,0.281962,-,-,0.081978,0.075333,0.214115
2,430.45430695657,155.4700888053327,0.0,0.0,41.215356706701144,18.225261980534277,0.2211260479088239,0.0,215.10835804392232,0.2141153721707333,stage_in_individuals->read_individuals->write_individuals->read_sifting->write_sifting->stage_out_sifting->read_frequency->write_frequency->stage_out_frequency,tmpfs,tmpfs,beegfs,tmpfs,tmpfs,155.470089,41.213463,0.001893,-,-,0.094345,0.002340,0.374743,-,18.220963,0.004299,215.108358,-,0.111219,0.109907,0.214115,-,0.090480,0.083435,0.214115
2,430.8345087419816,155.4700888053327,0.0,0.0,41.215356706701144,18.225261980534277,0.6013278333203912,0.0,215.10835804392232,0.2141153721707333,stage_in_individuals->read_individuals->write_individuals->read_sifting->write_sifting->stage_out_sifting->read_mutation_overlap->write_mutation_overlap->stage_out_frequency,tmpfs,tmpfs,beegfs,tmpfs,beegfs,155.470089,41.213463,0.001893,-,-,0.094345,0.002340,0.374743,-,18.220963,0.004299,215.108358,-,0.111219,0.109907,0.214115,-,0.457734,0.143594,-
2,431.18115609312156,155.4700888053327,0.0,0.0,41.215356706701144,18.225261980534277,0.9479751844603426,0.0,215.10835804392232,0.2141153721707333,stage_in_individuals->read_individuals->write_individuals->read_sifting->write_sifting->stage_out_sifting->read_frequency->write_frequency->stage_out_mutation_overlap,tmpfs,tmpfs,beegfs,beegfs,tmpfs,155.470089,41.213463,0.001893,-,-,0.094345,0.002340,0.374743,-,18.220963,0.004299,215.108358,-,0.526269,0.421706,-,-,0.090480,0.083435,0.214115
2,448.9779629750258,113.21911962401092,0.0,0.0,101.50722568499319,18.225261980534277,0.4360244218625649,0.0,214.88159556440831,0.7087356992165216,stage_in_individuals->read_individuals->write_individuals->read_sifting->write_sifting->stage_out_sifting->read_frequency->write_frequency->stage_out_frequency,ssd,ssd,beegfs,ssd,ssd,113.219120,101.436210,0.071016,-,-,0.120712,0.030796,0.374728,-,18.220963,0.004299,214.881596,-,0.139373,0.296652,0.708736,-,0.109243,0.153086,0.708736
2,449.1432663864836,113.21911962401092,0.0,0.0,101.50722568499319,18.225261980534277,0.6013278333203912,0.0,214.88159556440831,0.7087356992165216,stage_in_individuals->read_individuals->write_individuals->read_sifting->write_sifting->stage_out_sifting->read_mutation_overlap->write_mutation_overlap->stage_out_frequency,ssd,ssd,beegfs,ssd,beegfs,113.219120,101.436210,0.071016,-,-,0.120712,0.030796,0.374728,-,18.220963,0.004299,214.881596,-,0.139373,0.296652,0.708736,-,0.457734,0.143594,-
2,449.48991373762357,113.21911962401092,0.0,0.0,101.50722568499319,18.225261980534277,0.9479751844603426,0.0,214.88159556440831,0.7087356992165216,stage_in_individuals->read_individuals->write_individuals->read_sifting->write_sifting->stage_out_sifting->read_frequency->write_frequency->stage_out_mutation_overlap,ssd,ssd,beegfs,beegfs,ssd,113.219120,101.436210,0.071016,-,-,0.120712,0.030796,0.374728,-,18.220963,0.004299,214.881596,-,0.526269,0.421706,-,-,0.109243,0.153086,0.708736
2,1436.1763135320407,0.0,0.0,0.0,1417.003076367046,18.225261980534277,0.9479751844603426,0.0,0.0,0.0,read_individuals->write_individuals->read_sifting->write_sifting->read_frequency->write_frequency,beegfs,beegfs,beegfs,beegfs,beegfs,-,1416.964875,0.038201,-,-,0.480370,0.008748,-,-,18.220963,0.004299,-,-,0.526269,0.421706,-,-,0.457734,0.143594,-
2,1436.1763135320407,0.0,0.0,0.0,1417.003076367046,18.225261980534277,0.9479751844603426,0.0,0.0,0.0,read_individuals->write_individuals->read_sifting->write_sifting->read_frequency->write_frequency,beegfs,tmpfs,beegfs,beegfs,beegfs,-,1416.964875,0.038201,-,-,0.094345,0.002340,-,-,18.220963,0.004299,-,-,0.526269,0.421706,-,-,0.457734,0.143594,-
2,1436.1763135320407,0.0,0.0,0.0,1417.003076367046,18.225261980534277,0.9479751844603426,0.0,0.0,0.0,read_individuals->write_individuals->read_sifting->write_sifting->read_frequency->write_frequency,beegfs,ssd,beegfs,beegfs,beegfs,-,1416.964875,0.038201,-,-,0.120712,0.030796,-,-,18.220963,0.004299,-,-,0.526269,0.421706,-,-,0.457734,0.143594,-
2,1650.7719378115823,0.0,0.0,0.0,1417.003076367046,18.225261980534277,0.2211260479088239,0.0,215.10835804392232,0.2141153721707333,read_individuals->write_individuals->read_sifting->write_sifting->stage_out_sifting->read_frequency->write_frequency->stage_out_frequency,beegfs,beegfs,beegfs,tmpfs,tmpfs,-,1416.964875,0.038201,-,-,0.480370,0.008748,0.374743,-,18.220963,0.004299,215.108358,-,0.111219,0.109907,0.214115,-,0.090480,0.083435,0.214115
2,1650.7719378115823,0.0,0.0,0.0,1417.003076367046,18.225261980534277,0.2211260479088239,0.0,215.10835804392232,0.2141153721707333,read_individuals->write_individuals->read_sifting->write_sifting->stage_out_sifting->read_frequency->write_frequency->stage_out_frequency,beegfs,tmpfs,beegfs,tmpfs,tmpfs,-,1416.964875,0.038201,-,-,0.094345,0.002340,0.374743,-,18.220963,0.004299,215.108358,-,0.111219,0.109907,0.214115,-,0.090480,0.083435,0.214115
2,1651.152139596994,0.0,0.0,0.0,1417.003076367046,18.225261980534277,0.6013278333203912,0.0,215.10835804392232,0.2141153721707333,read_individuals->write_individuals->read_sifting->write_sifting->stage_out_sifting->read_mutation_overlap->write_mutation_overlap->stage_out_frequency,beegfs,beegfs,beegfs,tmpfs,beegfs,-,1416.964875,0.038201,-,-,0.480370,0.008748,0.374743,-,18.220963,0.004299,215.108358,-,0.111219,0.109907,0.214115,-,0.457734,0.143594,-
2,1651.152139596994,0.0,0.0,0.0,1417.003076367046,18.225261980534277,0.6013278333203912,0.0,215.10835804392232,0.2141153721707333,read_individuals->write_individuals->read_sifting->write_sifting->stage_out_sifting->read_mutation_overlap->write_mutation_overlap->stage_out_frequency,beegfs,tmpfs,beegfs,tmpfs,beegfs,-,1416.964875,0.038201,-,-,0.094345,0.002340,0.374743,-,18.220963,0.004299,215.108358,-,0.111219,0.109907,0.214115,-,0.457734,0.143594,-
2,1651.2546940330678,0.0,0.0,0.0,1417.003076367046,18.225261980534277,0.4360244218625649,0.0,214.88159556440831,0.7087356992165216,read_individuals->write_individuals->read_sifting->write_sifting->stage_out_sifting->read_frequency->write_frequency->stage_out_frequency,beegfs,beegfs,beegfs,ssd,ssd,-,1416.964875,0.038201,-,-,0.480370,0.008748,0.374728,-,18.220963,0.004299,214.881596,-,0.139373,0.296652,0.708736,-,0.109243,0.153086,0.708736
2,1651.2546940330678,0.0,0.0,0.0,1417.003076367046,18.225261980534277,0.4360244218625649,0.0,214.88159556440831,0.7087356992165216,read_individuals->write_individuals->read_sifting->write_sifting->stage_out_sifting->read_frequency->write_frequency->stage_out_frequency,beegfs,ssd,beegfs,ssd,ssd,-,1416.964875,0.038201,-,-,0.120712,0.030796,0.374728,-,18.220963,0.004299,214.881596,-,0.139373,0.296652,0.708736,-,0.109243,0.153086,0.708736
2,1651.3077616069736,0.0,0.0,0.0,1417.003076367046,18.225261980534277,0.26232951625419987,0.0,215.10835804392232,0.7087356992165216,read_individuals->write_individuals->read_sifting->write_sifting->stage_out_sifting->read_mutation_overlap->write_mutation_overlap->stage_out_mutation_overlap,beegfs,beegfs,beegfs,tmpfs,ssd,-,1416.964875,0.038201,-,-,0.480370,0.008748,0.374743,-,18.220963,0.004299,215.108358,-,0.111219,0.109907,0.214115,-,0.109243,0.153086,0.708736
2,1651.4199974445257,0.0,0.0,0.0,1417.003076367046,18.225261980534277,0.6013278333203912,0.0,214.88159556440831,0.7087356992165216,read_individuals->write_individuals->read_sifting->write_sifting->stage_out_sifting->read_mutation_overlap->write_mutation_overlap->stage_out_frequency,beegfs,beegfs,beegfs,ssd,beegfs,-,1416.964875,0.038201,-,-,0.480370,0.008748,0.374728,-,18.220963,0.004299,214.881596,-,0.139373,0.296652,0.708736,-,0.457734,0.143594,-
2,1651.4199974445257,0.0,0.0,0.0,1417.003076367046,18.225261980534277,0.6013278333203912,0.0,214.88159556440831,0.7087356992165216,read_individuals->write_individuals->read_sifting->write_sifting->stage_out_sifting->read_mutation_overlap->write_mutation_overlap->stage_out_frequency,beegfs,ssd,beegfs,ssd,beegfs,-,1416.964875,0.038201,-,-,0.120712,0.030796,0.374728,-,18.220963,0.004299,214.881596,-,0.139373,0.296652,0.708736,-,0.457734,0.143594,-
2,1651.4814565125819,0.0,0.0,0.0,1417.003076367046,18.225261980534277,0.4360244218625649,0.0,215.10835804392232,0.7087356992165216,read_individuals->write_individuals->read_sifting->write_sifting->stage_out_sifting->read_frequency->write_frequency->stage_out_frequency,beegfs,beegfs,beegfs,ssd,tmpfs,-,1416.964875,0.038201,-,-,0.480370,0.008748,0.374743,-,18.220963,0.004299,215.108358,-,0.139373,0.296652,0.708736,-,0.090480,0.083435,0.214115
2,1651.4987869481338,0.0,0.0,0.0,1417.003076367046,18.225261980534277,0.9479751844603426,0.0,215.10835804392232,0.2141153721707333,read_individuals->write_individuals->read_sifting->write_sifting->stage_out_sifting->read_frequency->write_frequency->stage_out_mutation_overlap,beegfs,beegfs,beegfs,beegfs,tmpfs,-,1416.964875,0.038201,-,-,0.480370,0.008748,0.374743,-,18.220963,0.004299,215.108358,-,0.526269,0.421706,-,-,0.090480,0.083435,0.214115
2,1651.4987869481338,0.0,0.0,0.0,1417.003076367046,18.225261980534277,0.9479751844603426,0.0,215.10835804392232,0.2141153721707333,read_individuals->write_individuals->read_sifting->write_sifting->stage_out_sifting->read_frequency->write_frequency->stage_out_mutation_overlap,beegfs,tmpfs,beegfs,beegfs,tmpfs,-,1416.964875,0.038201,-,-,0.094345,0.002340,0.374743,-,18.220963,0.004299,215.108358,-,0.526269,0.421706,-,-,0.090480,0.083435,0.214115
2,1651.7666447956656,0.0,0.0,0.0,1417.003076367046,18.225261980534277,0.9479751844603426,0.0,214.88159556440831,0.7087356992165216,read_individuals->write_individuals->read_sifting->write_sifting->stage_out_sifting->read_frequency->write_frequency->stage_out_mutation_overlap,beegfs,beegfs,beegfs,beegfs,ssd,-,1416.964875,0.038201,-,-,0.480370,0.008748,0.374728,-,18.220963,0.004299,214.881596,-,0.526269,0.421706,-,-,0.109243,0.153086,0.708736
2,1651.7666447956656,0.0,0.0,0.0,1417.003076367046,18.225261980534277,0.9479751844603426,0.0,214.88159556440831,0.7087356992165216,read_individuals->write_individuals->read_sifting->write_sifting->stage_out_sifting->read_frequency->write_frequency->stage_out_mutation_overlap,beegfs,ssd,beegfs,beegfs,ssd,-,1416.964875,0.038201,-,-,0.120712,0.030796,0.374728,-,18.220963,0.004299,214.881596,-,0.526269,0.421706,-,-,0.109243,0.153086,0.708736
