operation,randomOffset,transferSize,aggregateFilesizeMBtask,numTasks,parallelism,totalTime,numNodesList,numNodes,tasksPerNode,trMiB,storageType,opCount,taskName,taskPID,fileName,stageOrder,prevTask,aggregateFilesizeMB
1,1,6632.008785332315,33.11652946472168,96,96,0.19246599,[4],4,24,172.06431881664744,5,5236,run_idfeature,101197-dc002,pr_rlut_mean_sam_2016080103.nc,1.0,initial_data,762.2326653003693
0,1,5044.712326157363,25.253005027770996,96,96,0.109808438,[4],4,24,229.97326514899518,5,5249,run_idfeature,101198-dc002,cloudid_20160801_081500.nc,1.0,,762.2326653003693
1,1,6632.008785332315,33.11652946472168,96,96,0.195179311,[4],4,24,169.6723351212244,5,5236,run_idfeature,101198-dc002,pr_rlut_mean_sam_2016080108.nc,1.0,initial_data,762.2326653003693
0,1,3578.141931796533,17.911593437194824,96,96,0.088981567,[4],4,24,201.29554964113888,5,5249,run_idfeature,101199-dc002,cloudid_20160801_021500.nc,1.0,,762.2326653003693
1,1,6632.008785332315,33.11652946472168,96,96,0.201564099,[4],4,24,164.2977575323157,5,5236,run_idfeature,101199-dc002,pr_rlut_mean_sam_2016080102.nc,1.0,initial_data,762.2326653003693
0,1,5469.919032196609,27.38152027130127,96,96,0.107936554,[4],4,24,253.68162366292765,5,5249,run_idfeature,166665-dc004,cloudid_20160802_141500.nc,1.0,,762.2326653003693
1,1,6627.774212034384,33.08906364440918,96,96,0.243953513,[4],4,24,135.63675815731818,5,5235,run_idfeature,166665-dc004,pr_rlut_mean_sam_2016080214.nc,1.0,initial_data,762.2326653003693
0,1,5482.369975233378,27.44384765625,96,96,0.12539132,[4],4,24,218.86560932806194,5,5249,run_idfeature,166666-dc004,cloudid_20160802_101500.nc,1.0,,762.2326653003693
1,1,6632.008785332315,33.11652946472168,96,96,0.179635601,[4],4,24,184.35393251876437,5,5236,run_idfeature,166666-dc004,pr_rlut_mean_sam_2016080210.nc,1.0,initial_data,762.2326653003693
0,1,5448.753857877691,27.2755708694458,96,96,0.113215648,[4],4,24,240.91696997084537,5,5249,run_idfeature,166667-dc004,cloudid_20160802_091500.nc,1.0,,762.2326653003693
1,1,6632.008785332315,33.11652946472168,96,96,0.201240113,[4],4,24,164.56226828257485,5,5236,run_idfeature,166667-dc004,pr_rlut_mean_sam_2016080209.nc,1.0,initial_data,762.2326653003693
0,1,5454.978662602401,27.30673122406006,96,96,0.110726295,[4],4,24,246.61469277970565,5,5249,run_idfeature,166668-dc004,cloudid_20160802_181500.nc,1.0,,762.2326653003693
1,1,6632.008785332315,33.11652946472168,96,96,0.188947382,[4],4,24,175.26852774663837,5,5236,run_idfeature,166668-dc004,pr_rlut_mean_sam_2016080218.nc,1.0,initial_data,762.2326653003693
0,1,4770.616117355687,23.880924224853516,96,96,0.091384085,[4],4,24,261.3247615802414,5,5249,run_idfeature,166669-dc004,cloudid_20160801_061500.nc,1.0,,762.2326653003693
1,1,6632.008785332315,33.11652946472168,96,96,0.153335185,[4],4,24,215.97475794431446,5,5236,run_idfeature,166669-dc004,pr_rlut_mean_sam_2016080106.nc,1.0,initial_data,762.2326653003693
0,1,5365.741093541627,26.86002254486084,96,96,0.124128858,[4],4,24,216.38821928790193,5,5249,run_idfeature,166670-dc004,cloudid_20160802_011500.nc,1.0,,762.2326653003693
1,1,6632.008785332315,33.11652946472168,96,96,0.260369992,[4],4,24,127.19026954811936,5,5236,run_idfeature,166670-dc004,pr_rlut_mean_sam_2016080201.nc,1.0,initial_data,762.2326653003693
0,1,5425.9679939036005,27.161508560180664,96,96,0.10742284,[4],4,24,252.8466810240789,5,5249,run_idfeature,166671-dc004,cloudid_20160802_051500.nc,1.0,,762.2326653003693
1,1,6632.008785332315,33.11652946472168,96,96,0.1809914,[4],4,24,182.97294492844236,5,5236,run_idfeature,166671-dc004,pr_rlut_mean_sam_2016080205.nc,1.0,initial_data,762.2326653003693
0,1,5454.702800533435,27.305350303649902,96,96,0.099401719,[4],4,24,274.696962772343,5,5249,run_idfeature,166672-dc004,cloudid_20160802_151500.nc,1.0,,762.2326653003693
1,1,6632.008785332315,33.11652946472168,96,96,0.199286522,[4],4,24,166.17545999785014,5,5236,run_idfeature,166672-dc004,pr_rlut_mean_sam_2016080215.nc,1.0,initial_data,762.2326653003693
0,1,5498.886645075252,27.526527404785156,96,96,0.134676059,[4],4,24,204.39065123508817,5,5249,run_idfeature,166673-dc004,cloudid_20160801_181500.nc,1.0,,762.2326653003693
1,1,6632.008785332315,33.11652946472168,96,96,0.211033032,[4],4,24,156.92580991169987,5,5236,run_idfeature,166673-dc004,pr_rlut_mean_sam_2016080118.nc,1.0,initial_data,762.2326653003693
0,1,5454.739569441798,27.30553436279297,96,96,0.103087918,[4],4,24,264.87618425655825,5,5249,run_idfeature,166674-dc004,cloudid_20160802_201500.nc,1.0,,762.2326653003693
1,1,6632.008785332315,33.11652946472168,96,96,0.260055409,[4],4,24,127.3441286688318,5,5236,run_idfeature,166674-dc004,pr_rlut_mean_sam_2016080220.nc,1.0,initial_data,762.2326653003693
0,1,5474.222899599924,27.403064727783203,96,96,0.113964825,[4],4,24,240.45195285284913,5,5249,run_idfeature,166675-dc004,cloudid_20160802_081500.nc,1.0,,762.2326653003693
1,1,6632.008785332315,33.11652946472168,96,96,0.188413241,[4],4,24,175.7654042197686,5,5236,run_idfeature,166675-dc004,pr_rlut_mean_sam_2016080208.nc,1.0,initial_data,762.2326653003693
0,1,5111.4021718422555,25.586843490600586,96,96,0.113926465,[4],4,24,224.59086649094735,5,5249,run_idfeature,166676-dc004,cloudid_20160801_091500.nc,1.0,,762.2326653003693
1,1,6632.008785332315,33.11652946472168,96,96,0.173315838,[4],4,24,191.07618695944961,5,5236,run_idfeature,166676-dc004,pr_rlut_mean_sam_2016080109.nc,1.0,initial_data,762.2326653003693
0,1,5401.479329396076,27.03892230987549,96,96,0.127904853,[4],4,24,211.39872081222347,5,5249,run_idfeature,185758-dc001,cloudid_20160802_021500.nc,1.0,,762.2326653003693
1,1,6627.774212034384,33.08906364440918,96,96,0.196920381,[4],4,24,168.03270172633466,5,5235,run_idfeature,185758-dc001,pr_rlut_mean_sam_2016080202.nc,1.0,initial_data,762.2326653003693
0,1,5443.649457039436,27.250019073486328,96,96,0.086513519,[4],4,24,314.9798943386678,5,5249,run_idfeature,185759-dc001,cloudid_20160802_131500.nc,1.0,,762.2326653003693
1,1,6632.008785332315,33.11652946472168,96,96,0.19696883,[4],4,24,168.1308127012872,5,5236,run_idfeature,185759-dc001,pr_rlut_mean_sam_2016080213.nc,1.0,initial_data,762.2326653003693
0,1,5243.657649076014,26.248892784118652,96,96,0.111924092,[4],4,24,234.52406282749786,5,5249,run_idfeature,185760-dc001,cloudid_20160801_101500.nc,1.0,,762.2326653003693
1,1,6632.008785332315,33.11652946472168,96,96,0.183857799,[4],4,24,180.12034107251378,5,5236,run_idfeature,185760-dc001,pr_rlut_mean_sam_2016080110.nc,1.0,initial_data,762.2326653003693
0,1,5381.0110497237565,26.936461448669434,96,96,0.111813867,[4],4,24,240.90447966234308,5,5249,run_idfeature,185761-dc001,cloudid_20160801_161500.nc,1.0,,762.2326653003693
1,1,6632.008785332315,33.11652946472168,96,96,0.176739832,[4],4,24,187.37445368128266,5,5236,run_idfeature,185761-dc001,pr_rlut_mean_sam_2016080116.nc,1.0,initial_data,762.2326653003693
0,1,5247.358544484664,26.26741886138916,96,96,0.125584164,[4],4,24,209.16187220380078,5,5249,run_idfeature,185762-dc001,cloudid_20160801_111500.nc,1.0,,762.2326653003693
1,1,6632.008785332315,33.11652946472168,96,96,0.15322372,[4],4,24,216.13187217176085,5,5236,run_idfeature,185762-dc001,pr_rlut_mean_sam_2016080111.nc,1.0,initial_data,762.2326653003693
0,1,5336.459516098304,26.713443756103516,96,96,0.129045458,[4],4,24,207.00801229364862,5,5249,run_idfeature,185763-dc001,cloudid_20160801_141500.nc,1.0,,762.2326653003693
1,1,6632.008785332315,33.11652946472168,96,96,0.212965418,[4],4,24,155.5019109474463,5,5236,run_idfeature,185763-dc001,pr_rlut_mean_sam_2016080114.nc,1.0,initial_data,762.2326653003693
0,1,4189.704229377025,41.94594860076904,96,96,0.235732503,[4],4,24,177.93875713765718,5,10498,run_idfeature,185764-dc001,cloudid_20160801_003000.nc,1.0,,762.2326653003693
0,1,4189.704229377025,41.94594860076904,96,96,0.235732503,[4],4,24,177.93875713765718,5,10498,run_idfeature,185764-dc001,cloudid_20160802_071500.nc,1.0,,762.2326653003693
