,operation,randomOffset,transferSize,aggregateFilesizeMBtask,numTasks,parallelism,totalTime,numNodesList,numNodes,tasksPerNode,trMiB,storageType,opCount,taskName,taskPID,fileName,stageOrder,prevTask,aggregateFilesizeMB,estimated_trMiB_beegfs-ssd_15p,estimated_ts_slope_beegfs-ssd_15p,estimated_trMiB_beegfs-ssd_9p,estimated_ts_slope_beegfs-ssd_9p,estimated_trMiB_beegfs-tmpfs_15p,estimated_ts_slope_beegfs-tmpfs_15p,estimated_trMiB_beegfs-tmpfs_9p,estimated_ts_slope_beegfs-tmpfs_9p,estimated_trMiB_ssd-ssd_15p,estimated_ts_slope_ssd-ssd_15p,estimated_trMiB_ssd-ssd_9p,estimated_ts_slope_ssd-ssd_9p,estimated_trMiB_tmpfs-tmpfs_15p,estimated_ts_slope_tmpfs-tmpfs_15p,estimated_trMiB_tmpfs-tmpfs_9p,estimated_ts_slope_tmpfs-tmpfs_9p,estimated_trMiB_ssd_24p,estimated_ts_slope_ssd_24p,estimated_trMiB_beegfs_24p,estimated_ts_slope_beegfs_24p,estimated_trMiB_tmpfs_24p,estimated_ts_slope_tmpfs_24p,estimated_trMiB_beegfs-ssd_6p,estimated_ts_slope_beegfs-ssd_6p,estimated_trMiB_beegfs-tmpfs_6p,estimated_ts_slope_beegfs-tmpfs_6p,estimated_trMiB_ssd-ssd_6p,estimated_ts_slope_ssd-ssd_6p,estimated_trMiB_tmpfs-tmpfs_6p,estimated_ts_slope_tmpfs-tmpfs_6p,estimated_trMiB_beegfs-ssd_12p,estimated_ts_slope_beegfs-ssd_12p,estimated_trMiB_beegfs-tmpfs_12p,estimated_ts_slope_beegfs-tmpfs_12p,estimated_trMiB_ssd-ssd_12p,estimated_ts_slope_ssd-ssd_12p,estimated_trMiB_tmpfs-tmpfs_12p,estimated_ts_slope_tmpfs-tmpfs_12p,estimated_trMiB_beegfs-ssd_1p,estimated_ts_slope_beegfs-ssd_1p,estimated_trMiB_beegfs-tmpfs_1p,estimated_ts_slope_beegfs-tmpfs_1p,estimated_trMiB_ssd-ssd_1p,estimated_ts_slope_ssd-ssd_1p,estimated_trMiB_tmpfs-tmpfs_1p,estimated_ts_slope_tmpfs-tmpfs_1p,estimated_trMiB_ssd_1p,estimated_ts_slope_ssd_1p,estimated_trMiB_beegfs_1p,estimated_ts_slope_beegfs_1p,estimated_trMiB_tmpfs_1p,estimated_ts_slope_tmpfs_1p,estimated_trMiB_beegfs-ssd_10p,estimated_ts_slope_beegfs-ssd_10p,estimated_trMiB_beegfs-tmpfs_10p,estimated_ts_slope_beegfs-tmpfs_10p,estimated_trMiB_ssd-ssd_10p,estimated_ts_slope_ssd-ssd_10p,estimated_trMiB_tmpfs-tmpfs_10p,estimated_ts_slope_tmpfs-tmpfs_10p,estimated_trMiB_tmpfs-beegfs_15p,estimated_ts_slope_tmpfs-beegfs_15p,estimated_trMiB_tmpfs-beegfs_9p,estimated_ts_slope_tmpfs-beegfs_9p,estimated_trMiB_ssd-beegfs_15p,estimated_ts_slope_ssd-beegfs_15p,estimated_trMiB_ssd-beegfs_9p,estimated_ts_slope_ssd-beegfs_9p
153,1,1,532.2285375962108,0.8572902679443359,96,96,0.274479219,[4],4,24,3.1233339670218747,5,1689,run_tracksingle,103218-dc002,cloudid_20160801_201500.nc,2.0,run_idfeature,211.21421480178833,,,,,,,,,,,,,,,,,74968.92187083805,0.4877380599960529,14640.865342289624,0.4877380599960529,78788.13870608123,0.4877380599960529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,1,1,532.2285375962108,0.8572902679443359,96,96,0.274479219,[4],4,24,3.1233339670218747,5,1689,run_tracksingle,103218-dc002,cloudid_20160802_041500.nc,2.0,run_idfeature,211.21421480178833,,,,,,,,,,,,,,,,,74968.92187083805,0.4877380599960529,14640.865342289624,0.4877380599960529,78788.13870608123,0.4877380599960529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,1,1,532.2285375962108,0.8572902679443359,96,96,0.274479219,[4],4,24,3.1233339670218747,5,1689,run_tracksingle,103218-dc002,cloudid_20160802_051500.nc,2.0,run_idfeature,211.21421480178833,,,,,,,,,,,,,,,,,74968.92187083805,0.4877380599960529,14640.865342289624,0.4877380599960529,78788.13870608123,0.4877380599960529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,1,1,532.2285375962108,0.8572902679443359,96,96,0.274479219,[4],4,24,3.1233339670218747,5,1689,run_tracksingle,103218-dc002,cloudid_20160802_061500.nc,2.0,run_idfeature,211.21421480178833,,,,,,,,,,,,,,,,,74968.92187083805,0.4877380599960529,14640.865342289624,0.4877380599960529,78788.13870608123,0.4877380599960529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,1,1,532.2285375962108,0.8572902679443359,96,96,0.274479219,[4],4,24,3.1233339670218747,5,1689,run_tracksingle,103218-dc002,cloudid_20160802_081500.nc,2.0,run_idfeature,211.21421480178833,,,,,,,,,,,,,,,,,74968.92187083805,0.4877380599960529,14640.865342289624,0.4877380599960529,78788.13870608123,0.4877380599960529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,0,1,1294.1347517730496,0.17401981353759766,96,96,0.011436305,[4],4,24,15.216436911886982,5,141,run_tracksingle,103218-dc002,track_20160802_061500.nc,2.0,,211.21421480178833,,,,,,,,,,,,,,,,,2343.714028982973,0.08793448950945626,6192.0126041879685,0.08793448950945626,80932.74711951724,0.08793448950945626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,1,1,528.6011834319527,0.8519515991210938,96,96,0.074796915,[4],4,24,11.390197030467014,5,1690,run_tracksingle,103219-dc002,cloudid_20160801_041500.nc,2.0,run_idfeature,211.21421480178833,,,,,,,,,,,,,,,,,74865.28570086887,0.4839595660749507,14628.196027478136,0.4839595660749507,78679.26225651533,0.4839595660749507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,1,1,528.6011834319527,0.8519515991210938,96,96,0.074796915,[4],4,24,11.390197030467014,5,1690,run_tracksingle,103219-dc002,cloudid_20160801_151500.nc,2.0,run_idfeature,211.21421480178833,,,,,,,,,,,,,,,,,74865.28570086887,0.4839595660749507,14628.196027478136,0.4839595660749507,78679.26225651533,0.4839595660749507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,1,1,528.6011834319527,0.8519515991210938,96,96,0.074796915,[4],4,24,11.390197030467014,5,1690,run_tracksingle,103219-dc002,cloudid_20160802_091500.nc,2.0,run_idfeature,211.21421480178833,,,,,,,,,,,,,,,,,74865.28570086887,0.4839595660749507,14628.196027478136,0.4839595660749507,78679.26225651533,0.4839595660749507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,1,1,528.6011834319527,0.8519515991210938,96,96,0.074796915,[4],4,24,11.390197030467014,5,1690,run_tracksingle,103219-dc002,cloudid_20160802_171500.nc,2.0,run_idfeature,211.21421480178833,,,,,,,,,,,,,,,,,74865.28570086887,0.4839595660749507,14628.196027478136,0.4839595660749507,78679.26225651533,0.4839595660749507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
