operation,randomOffset,transferSize,aggregateFilesizeMBtask,numTasks,parallelism,totalTime,numNodesList,numNodes,tasksPerNode,trMiB,storageType,opCount,taskName,taskPID,fileName,stageOrder,prevTask,aggregateFilesizeMB
write,1,1064.1356026785713,7.274364471435547,12,12,0.024391434,"[1, 2, 4]",2,6,298.2343912799693,5,7168,openmm,74814-dlt06,stage0000_task0011.h5,0.0,,174.60818481445312
write,1,1064.1356026785713,7.274364471435547,12,12,0.024391434,"[1, 2, 4]",4,3,298.2343912799693,5,7168,openmm,74814-dlt06,stage0000_task0011.h5,0.0,,174.60818481445312
write,1,1066.6951185495118,7.293895721435547,12,12,0.025835182,"[1, 2, 4]",1,12,282.324147026932,5,7170,openmm,170278-dlt04,stage0000_task0004.dcd,0.0,,174.60818481445312
write,1,1066.6951185495118,7.293895721435547,12,12,0.025835182,"[1, 2, 4]",2,6,282.324147026932,5,7170,openmm,170278-dlt04,stage0000_task0004.dcd,0.0,,174.60818481445312
write,1,1066.6951185495118,7.293895721435547,12,12,0.025835182,"[1, 2, 4]",4,3,282.324147026932,5,7170,openmm,170278-dlt04,stage0000_task0004.dcd,0.0,,174.60818481445312
write,1,1066.6951185495118,7.293895721435547,12,12,0.025835182,"[1, 2, 4]",1,12,282.324147026932,5,7170,openmm,170278-dlt04,stage0000_task0004.h5,0.0,,174.60818481445312
write,1,1066.6951185495118,7.293895721435547,12,12,0.025835182,"[1, 2, 4]",2,6,282.324147026932,5,7170,openmm,170278-dlt04,stage0000_task0004.h5,0.0,,174.60818481445312
write,1,1066.6951185495118,7.293895721435547,12,12,0.025835182,"[1, 2, 4]",4,3,282.324147026932,5,7170,openmm,170278-dlt04,stage0000_task0004.h5,0.0,,174.60818481445312
write,1,1061.1719033654517,7.247020721435547,12,12,0.025397755,"[1, 2, 4]",1,12,285.3409965343609,5,7161,openmm,143676-dlt05,stage0000_task0006.dcd,0.0,,174.60818481445312
write,1,1061.1719033654517,7.247020721435547,12,12,0.025397755,"[1, 2, 4]",2,6,285.3409965343609,5,7161,openmm,143676-dlt05,stage0000_task0006.dcd,0.0,,174.60818481445312
write,1,1061.1719033654517,7.247020721435547,12,12,0.025397755,"[1, 2, 4]",4,3,285.3409965343609,5,7161,openmm,143676-dlt05,stage0000_task0006.dcd,0.0,,174.60818481445312
write,1,1061.1719033654517,7.247020721435547,12,12,0.025397755,"[1, 2, 4]",1,12,285.3409965343609,5,7161,openmm,143676-dlt05,stage0000_task0006.h5,0.0,,174.60818481445312
write,1,1061.1719033654517,7.247020721435547,12,12,0.025397755,"[1, 2, 4]",2,6,285.3409965343609,5,7161,openmm,143676-dlt05,stage0000_task0006.h5,0.0,,174.60818481445312
write,1,1061.1719033654517,7.247020721435547,12,12,0.025397755,"[1, 2, 4]",4,3,285.3409965343609,5,7161,openmm,143676-dlt05,stage0000_task0006.h5,0.0,,174.60818481445312
write,1,1063.2894222718392,7.266551971435547,12,12,0.024347477,"[1, 2, 4]",1,12,298.4519493102118,5,7166,openmm,143674-dlt05,stage0000_task0007.dcd,0.0,,174.60818481445312
write,1,1063.2894222718392,7.266551971435547,12,12,0.024347477,"[1, 2, 4]",2,6,298.4519493102118,5,7166,openmm,143674-dlt05,stage0000_task0007.dcd,0.0,,174.60818481445312
write,1,1063.2894222718392,7.266551971435547,12,12,0.024347477,"[1, 2, 4]",4,3,298.4519493102118,5,7166,openmm,143674-dlt05,stage0000_task0007.dcd,0.0,,174.60818481445312
write,1,1063.2894222718392,7.266551971435547,12,12,0.024347477,"[1, 2, 4]",1,12,298.4519493102118,5,7166,openmm,143674-dlt05,stage0000_task0007.h5,0.0,,174.60818481445312
write,1,1063.2894222718392,7.266551971435547,12,12,0.024347477,"[1, 2, 4]",2,6,298.4519493102118,5,7166,openmm,143674-dlt05,stage0000_task0007.h5,0.0,,174.60818481445312
write,1,1063.2894222718392,7.266551971435547,12,12,0.024347477,"[1, 2, 4]",4,3,298.4519493102118,5,7166,openmm,143674-dlt05,stage0000_task0007.h5,0.0,,174.60818481445312
write,1,1062.8661549197489,7.262645721435547,12,12,0.024145974,"[1, 2, 4]",1,12,300.78081428546005,5,7165,openmm,74812-dlt06,stage0000_task0010.dcd,0.0,,174.60818481445312
write,1,1062.8661549197489,7.262645721435547,12,12,0.024145974,"[1, 2, 4]",2,6,300.78081428546005,5,7165,openmm,74812-dlt06,stage0000_task0010.dcd,0.0,,174.60818481445312
write,1,1062.8661549197489,7.262645721435547,12,12,0.024145974,"[1, 2, 4]",4,3,300.78081428546005,5,7165,openmm,74812-dlt06,stage0000_task0010.dcd,0.0,,174.60818481445312
write,1,1062.8661549197489,7.262645721435547,12,12,0.024145974,"[1, 2, 4]",1,12,300.78081428546005,5,7165,openmm,74812-dlt06,stage0000_task0010.h5,0.0,,174.60818481445312
write,1,1062.8661549197489,7.262645721435547,12,12,0.024145974,"[1, 2, 4]",2,6,300.78081428546005,5,7165,openmm,74812-dlt06,stage0000_task0010.h5,0.0,,174.60818481445312
write,1,1062.8661549197489,7.262645721435547,12,12,0.024145974,"[1, 2, 4]",4,3,300.78081428546005,5,7165,openmm,74812-dlt06,stage0000_task0010.h5,0.0,,174.60818481445312
write,1,1066.6951185495118,7.293895721435547,12,12,0.025185911,"[1, 2, 4]",1,12,289.6022193295112,5,7170,openmm,170276-dlt04,stage0000_task0005.dcd,0.0,,174.60818481445312
write,1,1066.6951185495118,7.293895721435547,12,12,0.025185911,"[1, 2, 4]",2,6,289.6022193295112,5,7170,openmm,170276-dlt04,stage0000_task0005.dcd,0.0,,174.60818481445312
write,1,1066.6951185495118,7.293895721435547,12,12,0.025185911,"[1, 2, 4]",4,3,289.6022193295112,5,7170,openmm,170276-dlt04,stage0000_task0005.dcd,0.0,,174.60818481445312
write,1,1066.6951185495118,7.293895721435547,12,12,0.025185911,"[1, 2, 4]",1,12,289.6022193295112,5,7170,openmm,170276-dlt04,stage0000_task0005.h5,0.0,,174.60818481445312
write,1,1066.6951185495118,7.293895721435547,12,12,0.025185911,"[1, 2, 4]",2,6,289.6022193295112,5,7170,openmm,170276-dlt04,stage0000_task0005.h5,0.0,,174.60818481445312
write,1,1066.6951185495118,7.293895721435547,12,12,0.025185911,"[1, 2, 4]",4,3,289.6022193295112,5,7170,openmm,170276-dlt04,stage0000_task0005.h5,0.0,,174.60818481445312
write,1,1064.5585158320546,7.278270721435547,12,12,0.025041891,"[1, 2, 4]",1,12,290.6438144561665,5,7169,openmm,74813-dlt06,stage0000_task0009.dcd,0.0,,174.60818481445312
write,1,1064.5585158320546,7.278270721435547,12,12,0.025041891,"[1, 2, 4]",2,6,290.6438144561665,5,7169,openmm,74813-dlt06,stage0000_task0009.dcd,0.0,,174.60818481445312
write,1,1064.5585158320546,7.278270721435547,12,12,0.025041891,"[1, 2, 4]",4,3,290.6438144561665,5,7169,openmm,74813-dlt06,stage0000_task0009.dcd,0.0,,174.60818481445312
write,1,1064.5585158320546,7.278270721435547,12,12,0.025041891,"[1, 2, 4]",1,12,290.6438144561665,5,7169,openmm,74813-dlt06,stage0000_task0009.h5,0.0,,174.60818481445312
write,1,1064.5585158320546,7.278270721435547,12,12,0.025041891,"[1, 2, 4]",2,6,290.6438144561665,5,7169,openmm,74813-dlt06,stage0000_task0009.h5,0.0,,174.60818481445312
write,1,1064.5585158320546,7.278270721435547,12,12,0.025041891,"[1, 2, 4]",4,3,290.6438144561665,5,7169,openmm,74813-dlt06,stage0000_task0009.h5,0.0,,174.60818481445312
write,1,1065.8265476854433,7.289989471435547,12,12,0.026518146,"[1, 2, 4]",1,12,274.9056993439718,5,7172,openmm,170277-dlt04,stage0000_task0003.dcd,0.0,,174.60818481445312
write,1,1065.8265476854433,7.289989471435547,12,12,0.026518146,"[1, 2, 4]",2,6,274.9056993439718,5,7172,openmm,170277-dlt04,stage0000_task0003.dcd,0.0,,174.60818481445312
write,1,1065.8265476854433,7.289989471435547,12,12,0.026518146,"[1, 2, 4]",4,3,274.9056993439718,5,7172,openmm,170277-dlt04,stage0000_task0003.dcd,0.0,,174.60818481445312
write,1,1065.8265476854433,7.289989471435547,12,12,0.026518146,"[1, 2, 4]",1,12,274.9056993439718,5,7172,openmm,170277-dlt04,stage0000_task0003.h5,0.0,,174.60818481445312
write,1,1065.8265476854433,7.289989471435547,12,12,0.026518146,"[1, 2, 4]",2,6,274.9056993439718,5,7172,openmm,170277-dlt04,stage0000_task0003.h5,0.0,,174.60818481445312
write,1,1065.8265476854433,7.289989471435547,12,12,0.026518146,"[1, 2, 4]",4,3,274.9056993439718,5,7172,openmm,170277-dlt04,stage0000_task0003.h5,0.0,,174.60818481445312
write,1,1067.117556826105,7.297801971435547,12,12,0.025150193,"[1, 2, 4]",1,12,290.16882579929097,5,7171,openmm,190125-dlt02,stage0000_task0002.h5,0.0,,174.60818481445312
write,1,1067.117556826105,7.297801971435547,12,12,0.025150193,"[1, 2, 4]",2,6,290.16882579929097,5,7171,openmm,190125-dlt02,stage0000_task0002.h5,0.0,,174.60818481445312
write,1,1067.117556826105,7.297801971435547,12,12,0.025150193,"[1, 2, 4]",4,3,290.16882579929097,5,7171,openmm,190125-dlt02,stage0000_task0002.h5,0.0,,174.60818481445312
write,1,1067.117556826105,7.297801971435547,12,12,0.025150193,"[1, 2, 4]",1,12,290.16882579929097,5,7171,openmm,190125-dlt02,stage0000_task0002.dcd,0.0,,174.60818481445312
write,1,1067.117556826105,7.297801971435547,12,12,0.025150193,"[1, 2, 4]",2,6,290.16882579929097,5,7171,openmm,190125-dlt02,stage0000_task0002.dcd,0.0,,174.60818481445312
write,1,1067.117556826105,7.297801971435547,12,12,0.025150193,"[1, 2, 4]",4,3,290.16882579929097,5,7171,openmm,190125-dlt02,stage0000_task0002.dcd,0.0,,174.60818481445312
write,1,1066.3976575571667,7.293895721435547,12,12,0.025339566,"[1, 2, 4]",1,12,287.84611865236946,5,7172,openmm,190099-dlt02,stage0000_task0001.h5,0.0,,174.60818481445312
write,1,1066.3976575571667,7.293895721435547,12,12,0.025339566,"[1, 2, 4]",2,6,287.84611865236946,5,7172,openmm,190099-dlt02,stage0000_task0001.h5,0.0,,174.60818481445312
