nodes,total,in_o0,in_o1,in_o2,exec_o0,exec_o1,exec_o2,out_o0,out_o1,out_o2,critical_path,openmm_stor,aggregate_stor,training_stor,inference_stor,in_openmm,read_openmm,write_openmm,out_openmm,in_aggregate,read_aggregate,write_aggregate,out_aggregate,in_training,read_training,write_training,out_training,in_inference,read_inference,write_inference,out_inference
1,6.860336041537404,0.0,0.0,0.0211950940044729,0.3783165869951943,5.893275673620835,0.4611885217184416,0.0386515502096743,0.0,0.0677086149887858,read_openmm(12)->write_openmm(12)->stage_out_openmm(24)->read_training(1)->write_training(1)->stage_in_inference(13)->read_inference(1)->write_inference(1)->stage_out_inference(4),beegfs,beegfs,beegfs,ssd,-,0.189156,0.189160,0.038652,-,0.740471,0.740471,-,-,1.846054,4.047221,-,0.021195,0.230594,0.230594,0.067709
1,6.8730903232399205,0.0,0.071207113876422,0.0268923616797743,0.3783165869951943,5.893275673620835,0.4303109022903254,0.0459995619746752,0.0,0.0270881228026942,read_openmm(12)->write_openmm(12)->stage_out_openmm(6)->stage_in_aggregate(4)->read_training(1)->write_training(1)->stage_in_inference(4)->read_inference(1)->write_inference(1)->stage_out_inference(4),beegfs,tmpfs,beegfs,tmpfs,-,0.189156,0.189160,0.046000,0.071207,0.249123,0.249123,-,-,1.846054,4.047221,-,0.026892,0.215155,0.215155,0.027088
2,6.883032030256695,0.0,0.071207113876422,0.0211950940044729,0.32245745007306303,5.893275673620835,0.4611885217184416,0.0459995619746752,0.0,0.0677086149887858,read_openmm(6)->write_openmm(6)->stage_out_openmm(6)->stage_in_aggregate(4)->read_training(1)->write_training(1)->stage_in_inference(13)->read_inference(1)->write_inference(1)->stage_out_inference(4),beegfs,tmpfs,beegfs,ssd,-,0.161227,0.161230,0.046000,0.071207,0.249123,0.249123,-,-,1.846054,4.047221,-,0.021195,0.230594,0.230594,0.067709
1,6.913569456577125,0.0,0.0532334150397215,0.0211950940044729,0.3783165869951943,5.893275673620835,0.4611885217184416,0.0386515502096743,0.0,0.0677086149887858,read_openmm(12)->write_openmm(12)->stage_out_openmm(24)->stage_in_aggregate(16)->read_training(1)->write_training(1)->stage_in_inference(13)->read_inference(1)->write_inference(1)->stage_out_inference(4),beegfs,ssd,beegfs,ssd,-,0.189156,0.189160,0.038652,0.053233,0.268205,0.268205,-,-,1.846054,4.047221,-,0.021195,0.230594,0.230594,0.067709
1,6.938891167178826,0.0,0.071207113876422,0.0211950940044729,0.3783165869951943,5.893275673620835,0.4611885217184416,0.0459995619746752,0.0,0.0677086149887858,read_openmm(12)->write_openmm(12)->stage_out_openmm(6)->stage_in_aggregate(4)->read_training(1)->write_training(1)->stage_in_inference(13)->read_inference(1)->write_inference(1)->stage_out_inference(4),beegfs,tmpfs,beegfs,ssd,-,0.189156,0.189160,0.046000,0.071207,0.249123,0.249123,-,-,1.846054,4.047221,-,0.021195,0.230594,0.230594,0.067709
1,7.307790436889249,0.0459995619746752,0.0,0.0,0.041074799205917695,5.893275673620835,1.2761856469925568,0.0512547550952648,0.0,0.0,stage_in_openmm(6)->read_openmm(12)->write_openmm(12)->stage_out_openmm(6)->read_training(1)->write_training(1)->read_inference(1)->write_inference(1),tmpfs,beegfs,beegfs,beegfs,0.046000,0.020537,0.020538,0.051255,-,0.740471,0.740471,-,-,1.846054,4.047221,-,-,0.638093,0.638093,-
4,7.323991386034138,0.0459995619746752,0.0,0.0,0.0572757483508076,5.893275673620835,1.2761856469925568,0.0512547550952648,0.0,0.0,stage_in_openmm(6)->read_openmm(3)->write_openmm(3)->stage_out_openmm(6)->read_training(1)->write_training(1)->read_inference(1)->write_inference(1),tmpfs,beegfs,beegfs,beegfs,0.046000,0.028638,0.028638,0.051255,-,0.740471,0.740471,-,-,1.846054,4.047221,-,-,0.638093,0.638093,-
2,7.3291398522797815,0.0459995619746752,0.0,0.0,0.06242421459645,5.893275673620835,1.2761856469925568,0.0512547550952648,0.0,0.0,stage_in_openmm(6)->read_openmm(6)->write_openmm(6)->stage_out_openmm(6)->read_training(1)->write_training(1)->read_inference(1)->write_inference(1),tmpfs,beegfs,beegfs,beegfs,0.046000,0.031212,0.031212,0.051255,-,0.740471,0.740471,-,-,1.846054,4.047221,-,-,0.638093,0.638093,-
4,7.405099212761584,0.0,0.0,0.0,0.2356378921481932,5.893275673620835,1.2761856469925568,0.0,0.0,0.0,read_openmm(3)->write_openmm(3)->read_training(1)->write_training(1)->read_inference(1)->write_inference(1),beegfs,beegfs,beegfs,beegfs,-,0.117818,0.117820,-,-,0.740471,0.740471,-,-,1.846054,4.047221,-,-,0.638093,0.638093,-
2,7.491918770686454,0.0,0.0,0.0,0.32245745007306303,5.893275673620835,1.2761856469925568,0.0,0.0,0.0,read_openmm(6)->write_openmm(6)->read_training(1)->write_training(1)->read_inference(1)->write_inference(1),beegfs,beegfs,beegfs,beegfs,-,0.161227,0.161230,-,-,0.740471,0.740471,-,-,1.846054,4.047221,-,-,0.638093,0.638093,-
4,7.49698417801098,0.0,0.0532334150397215,0.0,0.2356378921481932,5.893275673620835,1.2761856469925568,0.0386515502096743,0.0,0.0,read_openmm(3)->write_openmm(3)->stage_out_openmm(24)->stage_in_aggregate(16)->read_training(1)->write_training(1)->read_inference(1)->write_inference(1),beegfs,ssd,beegfs,beegfs,-,0.117818,0.117820,0.038652,0.053233,0.268205,0.268205,-,-,1.846054,4.047221,-,-,0.638093,0.638093,-
