producer,producerStageOrder,consumer,consumerStageOrder,producerStorageType,producerTasksPerNode,consumerStorageType,consumerTasksPerNode,SPM,estT_prod,estT_cons
stage_in-openmm,0.5,openmm,1.0,ssd-beegfs,6,beegfs,12,0.3226380116087598,0.13348169571992055,0.1891563158888393
stage_in-openmm,0.5,openmm,1.0,ssd-beegfs,12,beegfs,6,0.3554861508409214,0.19425911291138012,0.16122703792954127
stage_in-openmm,0.5,openmm,1.0,ssd-beegfs,12,beegfs,12,0.3834154288002194,0.19425911291138012,0.1891563158888393
stage_in-openmm,0.5,openmm,1.0,beegfs-tmpfs,12,tmpfs,12,0.4929510748227207,0.47241409099123804,0.020536983831482645
stage_in-openmm,0.5,openmm,1.0,beegfs-tmpfs,12,tmpfs,3,0.501051965166642,0.47241409099123804,0.028637874175403876
stage_in-openmm,0.5,openmm,1.0,ssd,1,ssd,6,0.5029138235618871,0.0,0.5029138235618871
stage_in-openmm,0.5,openmm,1.0,ssd,3,ssd,6,0.5029138235618871,0.0,0.5029138235618871
stage_in-openmm,0.5,openmm,1.0,ssd,6,ssd,6,0.5029138235618871,0.0,0.5029138235618871
stage_in-openmm,0.5,openmm,1.0,ssd,12,ssd,6,0.5029138235618871,0.0,0.5029138235618871
stage_in-openmm,0.5,openmm,1.0,ssd,13,ssd,6,0.5029138235618871,0.0,0.5029138235618871
stage_in-openmm,0.5,openmm,1.0,ssd,16,ssd,6,0.5029138235618871,0.0,0.5029138235618871
stage_in-openmm,0.5,openmm,1.0,ssd,24,ssd,6,0.5029138235618871,0.0,0.5029138235618871
stage_in-openmm,0.5,openmm,1.0,ssd,34,ssd,6,0.5029138235618871,0.0,0.5029138235618871
stage_in-openmm,0.5,openmm,1.0,beegfs-tmpfs,12,tmpfs,6,0.5036261982894631,0.47241409099123804,0.031212107298225017
stage_in-openmm,0.5,openmm,1.0,beegfs-ssd,24,ssd,6,0.5415653737715614,0.038651550209674396,0.5029138235618871
stage_in-openmm,0.5,openmm,1.0,beegfs-ssd,12,ssd,6,0.5425639832758001,0.03965015971391303,0.5029138235618871
stage_in-openmm,0.5,openmm,1.0,beegfs-ssd,6,ssd,6,0.5441089677639072,0.04119514420202009,0.5029138235618871
stage_in-openmm,0.5,openmm,1.0,ssd,1,ssd,12,0.5878064393228586,0.0,0.5878064393228586
stage_in-openmm,0.5,openmm,1.0,ssd,3,ssd,12,0.5878064393228586,0.0,0.5878064393228586
stage_in-openmm,0.5,openmm,1.0,ssd,6,ssd,12,0.5878064393228586,0.0,0.5878064393228586
stage_in-openmm,0.5,openmm,1.0,ssd,12,ssd,12,0.5878064393228586,0.0,0.5878064393228586
stage_in-openmm,0.5,openmm,1.0,ssd,13,ssd,12,0.5878064393228586,0.0,0.5878064393228586
stage_in-openmm,0.5,openmm,1.0,ssd,16,ssd,12,0.5878064393228586,0.0,0.5878064393228586
stage_in-openmm,0.5,openmm,1.0,ssd,24,ssd,12,0.5878064393228586,0.0,0.5878064393228586
stage_in-openmm,0.5,openmm,1.0,ssd,34,ssd,12,0.5878064393228586,0.0,0.5878064393228586
stage_in-openmm,0.5,openmm,1.0,beegfs-ssd,24,ssd,12,0.626457989532533,0.038651550209674396,0.5878064393228586
stage_in-openmm,0.5,openmm,1.0,beegfs-ssd,12,ssd,12,0.6274565990367716,0.03965015971391303,0.5878064393228586
stage_in-openmm,0.5,openmm,1.0,beegfs-ssd,6,ssd,12,0.6290015835248787,0.04119514420202009,0.5878064393228586
stage_in-openmm,0.5,openmm,1.0,beegfs-tmpfs,24,tmpfs,12,0.6373871732094619,0.6168501893779793,0.020536983831482645
stage_in-openmm,0.5,openmm,1.0,beegfs-tmpfs,24,tmpfs,3,0.6454880635533832,0.6168501893779793,0.028637874175403876
stage_in-openmm,0.5,openmm,1.0,beegfs-tmpfs,24,tmpfs,6,0.6480622966762043,0.6168501893779793,0.031212107298225017
stage_in-openmm,0.5,openmm,1.0,tmpfs-beegfs,24,beegfs,3,0.822666251205759,0.7048480310874262,0.11781822011833275
stage_in-openmm,0.5,openmm,1.0,tmpfs-beegfs,24,beegfs,6,0.8660750690169675,0.7048480310874262,0.16122703792954127
stage_in-openmm,0.5,openmm,1.0,tmpfs-beegfs,24,beegfs,12,0.8940043469762655,0.7048480310874262,0.1891563158888393
stage_in-openmm,0.5,openmm,1.0,tmpfs-beegfs,12,beegfs,3,1.2387871010870104,1.1209688809686777,0.11781822011833275
stage_in-openmm,0.5,openmm,1.0,tmpfs-beegfs,12,beegfs,6,1.282195918898219,1.1209688809686777,0.16122703792954127
stage_in-openmm,0.5,openmm,1.0,tmpfs-beegfs,12,beegfs,12,1.3101251968575172,1.1209688809686777,0.1891563158888393
stage_in-openmm,0.5,openmm,1.0,tmpfs-tmpfs,6,tmpfs,12,1.7095308396493694,1.6889938558178867,0.020536983831482645
stage_in-openmm,0.5,openmm,1.0,tmpfs-tmpfs,6,tmpfs,3,1.7176317299932906,1.6889938558178867,0.028637874175403876
stage_in-openmm,0.5,openmm,1.0,tmpfs-tmpfs,6,tmpfs,6,1.7202059631161117,1.6889938558178867,0.031212107298225017
stage_in-openmm,0.5,openmm,1.0,tmpfs-tmpfs,12,tmpfs,12,1.7563018793781084,1.7357648955466258,0.020536983831482645
stage_in-openmm,0.5,openmm,1.0,tmpfs-tmpfs,12,tmpfs,3,1.7644027697220297,1.7357648955466258,0.028637874175403876
stage_in-openmm,0.5,openmm,1.0,tmpfs-tmpfs,12,tmpfs,6,1.7669770028448508,1.7357648955466258,0.031212107298225017
