producer,consumer,producerStorageType,producerTasksPerNode,consumerStorageType,consumerTasksPerNode,SPM
run_idfeature,run_tracksingle,beegfs,12,tmpfs,6,14.581055264110454
run_idfeature,run_tracksingle,beegfs,12,ssd,3,14.58158498441548
run_idfeature,run_tracksingle,beegfs,12,ssd,12,14.588808748674511
run_idfeature,run_tracksingle,beegfs,12,beegfs,3,14.693947223641379
run_idfeature,run_tracksingle,beegfs,12,beegfs,6,14.704683706254416
run_idfeature,run_tracksingle,beegfs,12,beegfs,12,14.783909989112741
run_idfeature,stage_out-run_idfeature,tmpfs,3,beegfs-ssd,30,9.798443667922854
run_idfeature,stage_out-run_idfeature,tmpfs,3,beegfs-ssd,8,9.929152357045217
run_idfeature,stage_out-run_idfeature,tmpfs,6,beegfs-ssd,30,9.977232126805758
run_idfeature,stage_out-run_idfeature,tmpfs,12,beegfs-ssd,30,10.063394810338918
run_idfeature,stage_out-run_idfeature,tmpfs,6,beegfs-ssd,8,10.10794081592812
run_idfeature,stage_out-run_idfeature,tmpfs,3,beegfs-ssd,15,10.175543363051986
run_idfeature,stage_out-run_idfeature,tmpfs,12,beegfs-ssd,8,10.194103499461281
run_idfeature,stage_out-run_idfeature,tmpfs,6,beegfs-ssd,15,10.35433182193489
run_idfeature,stage_out-run_idfeature,tmpfs,12,beegfs-ssd,15,10.44049450546805
run_idfeature,stage_out-run_idfeature,ssd,3,beegfs-ssd,30,11.824413652730076
run_idfeature,stage_out-run_idfeature,tmpfs,3,beegfs-tmpfs,8,11.846677830183058
run_idfeature,stage_out-run_idfeature,ssd,3,beegfs-ssd,8,11.955122341852437
run_idfeature,stage_out-run_idfeature,tmpfs,6,beegfs-tmpfs,8,12.025466289065962
run_idfeature,stage_out-run_idfeature,tmpfs,12,beegfs-tmpfs,8,12.111628972599123
run_idfeature,stage_out-run_idfeature,ssd,3,beegfs-ssd,15,12.201513347859208
run_idfeature,stage_out-run_idfeature,ssd,6,beegfs-ssd,30,12.4610624235317
run_idfeature,stage_out-run_idfeature,ssd,6,beegfs-ssd,8,12.591771112654063
run_idfeature,stage_out-run_idfeature,ssd,6,beegfs-ssd,15,12.838162118660833
run_idfeature,stage_out-run_idfeature,tmpfs,3,beegfs-tmpfs,15,13.329183378809056
run_idfeature,stage_out-run_idfeature,tmpfs,6,beegfs-tmpfs,15,13.50797183769196
run_idfeature,stage_out-run_idfeature,tmpfs,12,beegfs-tmpfs,15,13.59413452122512
run_idfeature,stage_out-run_idfeature,tmpfs,3,beegfs-ssd,2,13.852238192552246
run_idfeature,stage_out-run_idfeature,ssd,3,beegfs-tmpfs,8,13.87264781499028
run_idfeature,stage_out-run_idfeature,tmpfs,6,beegfs-ssd,2,14.03102665143515
run_idfeature,stage_out-run_idfeature,tmpfs,12,beegfs-ssd,2,14.11718933496831
run_idfeature,stage_out-run_idfeature,ssd,6,beegfs-tmpfs,8,14.509296585791905
run_idfeature,stage_out-run_idfeature,tmpfs,3,beegfs-ssd,5,14.748470896112371
run_idfeature,stage_out-run_idfeature,tmpfs,6,beegfs-ssd,5,14.927259354995275
run_idfeature,stage_out-run_idfeature,tmpfs,12,beegfs-ssd,5,15.013422038528436
run_idfeature,stage_out-run_idfeature,ssd,3,beegfs-tmpfs,15,15.355153363616278
run_idfeature,stage_out-run_idfeature,ssd,3,beegfs-ssd,2,15.878208177359468
run_idfeature,stage_out-run_idfeature,ssd,6,beegfs-tmpfs,15,15.991802134417902
run_idfeature,stage_out-run_idfeature,tmpfs,3,beegfs-ssd,3,16.33018237964929
run_idfeature,stage_out-run_idfeature,tmpfs,6,beegfs-ssd,3,16.508970838532196
run_idfeature,stage_out-run_idfeature,ssd,6,beegfs-ssd,2,16.514856948161093
run_idfeature,stage_out-run_idfeature,tmpfs,12,beegfs-ssd,3,16.595133522065357
run_idfeature,stage_out-run_idfeature,beegfs,3,beegfs-ssd,30,16.729795416069663
run_idfeature,stage_out-run_idfeature,ssd,12,beegfs-ssd,30,16.766304102699642
run_idfeature,stage_out-run_idfeature,ssd,3,beegfs-ssd,5,16.77444088091959
run_idfeature,stage_out-run_idfeature,beegfs,3,beegfs-ssd,8,16.860504105192028
run_idfeature,stage_out-run_idfeature,ssd,12,beegfs-ssd,8,16.897012791822007
run_idfeature,stage_out-run_idfeature,beegfs,6,beegfs-ssd,30,16.964874673199112
run_idfeature,stage_out-run_idfeature,beegfs,6,beegfs-ssd,8,17.095583362321477
run_idfeature,stage_out-run_idfeature,beegfs,3,beegfs-ssd,15,17.106895111198796
run_idfeature,stage_out-run_idfeature,ssd,12,beegfs-ssd,15,17.143403797828775
run_idfeature,stage_out-run_idfeature,beegfs,6,beegfs-ssd,15,17.341974368328245
run_idfeature,stage_out-run_idfeature,ssd,6,beegfs-ssd,5,17.41108965172122
run_idfeature,stage_out-run_idfeature,ssd,3,beegfs-ssd,3,18.356152364456513
run_idfeature,stage_out-run_idfeature,beegfs,3,beegfs-tmpfs,8,18.778029578329868
run_idfeature,stage_out-run_idfeature,ssd,12,beegfs-tmpfs,8,18.814538264959847
run_idfeature,stage_out-run_idfeature,ssd,6,beegfs-ssd,3,18.99280113525814
run_idfeature,stage_out-run_idfeature,beegfs,6,beegfs-tmpfs,8,19.013108835459317
run_idfeature,stage_out-run_idfeature,tmpfs,3,beegfs-tmpfs,3,19.28090345834506
run_idfeature,stage_out-run_idfeature,tmpfs,6,beegfs-tmpfs,3,19.459691917227964
run_idfeature,stage_out-run_idfeature,tmpfs,12,beegfs-tmpfs,3,19.545854600761125
run_idfeature,stage_out-run_idfeature,beegfs,3,beegfs-tmpfs,15,20.260535126955865
run_idfeature,stage_out-run_idfeature,ssd,12,beegfs-tmpfs,15,20.297043813585844
run_idfeature,stage_out-run_idfeature,beegfs,6,beegfs-tmpfs,15,20.495614384085314
run_idfeature,stage_out-run_idfeature,beegfs,3,beegfs-ssd,2,20.783589940699056
run_idfeature,stage_out-run_idfeature,ssd,12,beegfs-ssd,2,20.820098627329035
run_idfeature,stage_out-run_idfeature,beegfs,6,beegfs-ssd,2,21.018669197828505
run_idfeature,stage_out-run_idfeature,beegfs,12,beegfs-ssd,30,21.11596129422368
run_idfeature,stage_out-run_idfeature,beegfs,12,beegfs-ssd,8,21.246669983346045
run_idfeature,stage_out-run_idfeature,ssd,3,beegfs-tmpfs,3,21.30687344315228
run_idfeature,stage_out-run_idfeature,beegfs,12,beegfs-ssd,15,21.493060989352813
run_idfeature,stage_out-run_idfeature,beegfs,3,beegfs-ssd,5,21.679822644259183
run_idfeature,stage_out-run_idfeature,ssd,12,beegfs-ssd,5,21.71633133088916
run_idfeature,stage_out-run_idfeature,beegfs,6,beegfs-ssd,5,21.91490190138863
run_idfeature,stage_out-run_idfeature,ssd,6,beegfs-tmpfs,3,21.943522213953905
run_idfeature,stage_out-run_idfeature,beegfs,12,beegfs-tmpfs,8,23.16419545648389
run_idfeature,stage_out-run_idfeature,beegfs,3,beegfs-ssd,3,23.261534127796104
run_idfeature,stage_out-run_idfeature,ssd,12,beegfs-ssd,3,23.298042814426083
run_idfeature,stage_out-run_idfeature,beegfs,6,beegfs-ssd,3,23.496613384925553
run_idfeature,stage_out-run_idfeature,beegfs,12,beegfs-tmpfs,15,24.646701005109882
run_idfeature,stage_out-run_idfeature,beegfs,12,beegfs-ssd,2,25.169755818853076
run_idfeature,stage_out-run_idfeature,beegfs,12,beegfs-ssd,5,26.0659885224132
run_idfeature,stage_out-run_idfeature,beegfs,3,beegfs-tmpfs,3,26.212255206491868
run_idfeature,stage_out-run_idfeature,ssd,12,beegfs-tmpfs,3,26.248763893121847
run_idfeature,stage_out-run_idfeature,beegfs,6,beegfs-tmpfs,3,26.447334463621317
run_idfeature,stage_out-run_idfeature,tmpfs,3,beegfs-tmpfs,2,26.884578252403564
run_idfeature,stage_out-run_idfeature,tmpfs,6,beegfs-tmpfs,2,27.06336671128647
run_idfeature,stage_out-run_idfeature,tmpfs,12,beegfs-tmpfs,2,27.14952939481963
run_idfeature,stage_out-run_idfeature,beegfs,12,beegfs-ssd,3,27.64770000595012
