nodes,total,in_o1,in_o2,in_o3,exec_o1,exec_o2,exec_o3,out_o1,out_o2,out_o3,critical_path,individuals_stor,individuals_merge_stor,sifting_stor,frequency_stor,mutation_overlap_stor,in_individuals,read_individuals,write_individuals,out_individuals,in_individuals_merge,read_individuals_merge,write_individuals_merge,out_individuals_merge,in_sifting,read_sifting,write_sifting,out_sifting,in_frequency,read_frequency,write_frequency,out_frequency,in_mutation_overlap,read_mutation_overlap,write_mutation_overlap,out_mutation_overlap,lam_read_beegfs,lam_write_beegfs,lam_read_ssd,lam_write_ssd,lam_read_tmpfs,lam_write_tmpfs,lam_in_total,lam_out_total,exec_beegfs_share,exec_local_share,movement_share,region_provisional,region,leaf_region
5,128.86380856031457,28.103607641140066,29.391062115692428,0.0,17.648881072227834,1.6739019401554494,1.0943353171710826,25.330669434225655,25.621351039702056,0.0,stage_in_individuals(4)->read_individuals(60)->write_individuals(60)->stage_out_individuals(12)->stage_in_sifting(6)->read_sifting(2)->write_sifting(2)->stage_out_sifting(6)->read_frequency(2)->write_frequency(2),tmpfs,beegfs,tmpfs,beegfs,beegfs,28.103608,17.648091,0.00079,25.330669,0.0,0.377584,0.005744,0.0,29.391062,1.672991,0.000911,25.621351,0.0,0.820092,0.274244,0.0,0.0,0.731962,0.093687,0.0,0.820092,0.274244,0.0,0.0,19.321082,0.001701,57.49467,50.952020000000005,0.008492190415804672,0.14994732202840214,0.8415604909678019,10,5,5
2,131.52666102455464,28.103607641140066,0.0,0.0877382858514435,39.61490739093403,13.671095796837731,0.4659443157324714,25.330669434225655,23.69241335835795,0.5602848014752922,stage_in_individuals(4)->read_individuals(150)->write_individuals(150)->stage_out_individuals(12)->read_sifting(5)->write_sifting(5)->stage_out_sifting(3)->stage_in_frequency(16)->read_frequency(5)->write_frequency(5)->stage_out_frequency(8),tmpfs,beegfs,beegfs,ssd,ssd,28.103608,39.613014,0.001893,25.330669,0.0,0.48037,0.008748,0.009088,0.0,13.666797,0.004299,23.692413,0.087738,0.278746,0.187199,0.560285,0.056307,0.218486,0.120425,0.546232,13.666797,0.004299,0.278746,0.187199,39.613014,0.001893,28.191346000000003,49.583367,0.10394163353274548,0.30473556986683503,0.5913227964137225,16,1,1
2,132.11909399198902,28.103607641140066,0.0,0.0877382858514435,39.61490739093403,13.671095796837731,1.0583772831668277,25.330669434225655,23.69241335835795,0.5602848014752922,stage_in_individuals(4)->read_individuals(150)->write_individuals(150)->stage_out_individuals(12)->read_sifting(5)->write_sifting(5)->stage_out_sifting(3)->stage_in_frequency(16)->read_mutation_overlap(5)->write_mutation_overlap(5)->stage_out_frequency(8),tmpfs,beegfs,beegfs,ssd,beegfs,28.103608,39.613014,0.001893,25.330669,0.0,0.48037,0.008748,0.009088,0.0,13.666797,0.004299,23.692413,0.087738,0.278746,0.187199,0.560285,0.0,0.915467,0.14291,0.0,14.582264,0.147209,0.0,0.0,39.613014,0.001893,28.191346000000003,49.583367,0.11148633066536927,0.2998424058403075,0.5886712559860217,16,1,1
2,132.47750272194267,28.103607641140066,0.0,0.0563074925683821,39.61490739093403,13.671095796837731,1.462269450851291,25.330669434225655,23.69241335835795,0.5462321570275642,stage_in_individuals(4)->read_individuals(150)->write_individuals(150)->stage_out_individuals(12)->read_sifting(5)->write_sifting(5)->stage_out_sifting(3)->stage_in_mutation_overlap(3)->read_frequency(5)->write_frequency(5)->stage_out_mutation_overlap(12),tmpfs,beegfs,beegfs,beegfs,ssd,28.103608,39.613014,0.001893,25.330669,0.0,0.48037,0.008748,0.009088,0.0,13.666797,0.004299,23.692413,0.0,1.052539,0.409731,0.0,0.056307,0.218486,0.120425,0.546232,14.719336,0.41403,0.0,0.0,39.613014,0.001893,28.159915,49.569314000000006,0.11423347881008403,0.2990312029292062,0.5867353128111531,16,1,1
10,135.50791863352242,0.0,0.0,0.0,128.8588258326715,6.020583935335569,0.6285088655153603,0.0,0.0,0.0,read_individuals(30)->write_individuals(30)->read_sifting(1)->write_sifting(1)->read_frequency(1)->write_frequency(1),beegfs,beegfs,beegfs,beegfs,beegfs,0.0,128.850192,0.008634,0.0,0.0,0.20992,0.003812,0.0,0.0,6.01874,0.001843,0.0,0.0,0.473642,0.154867,0.0,0.0,0.475353,0.056626,0.0,135.342574,0.165344,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999953248238,0.0,0.0,21,2,2
2,136.66920915823508,28.103607641140066,0.0,0.0881974768977294,39.61490739093403,13.671095796837731,0.3179759167803937,25.330669434225655,29.391062115692428,0.1516933857270378,stage_in_individuals(4)->read_individuals(150)->write_individuals(150)->stage_out_individuals(12)->read_sifting(5)->write_sifting(5)->stage_out_sifting(6)->stage_in_frequency(5)->read_frequency(5)->write_frequency(5)->stage_out_frequency(8),tmpfs,beegfs,beegfs,tmpfs,tmpfs,28.103608,39.613014,0.001893,25.330669,0.0,0.48037,0.008748,0.00948,0.0,13.666797,0.004299,29.391062,0.088197,0.222438,0.095538,0.151693,0.055689,0.180961,0.032524,0.151693,13.666797,0.004299,0.0,0.0,39.835452,0.097431,28.191805000000002,54.87342400000001,0.10003054882809455,0.2921863911114432,0.607783051585722,16,1,1
2,137.0846826362067,28.103607641140066,0.0,0.0881974768977294,39.61490739093403,13.671095796837731,0.3389106234515097,25.330669434225655,29.391062115692428,0.5462321570275642,stage_in_individuals(4)->read_individuals(150)->write_individuals(150)->stage_out_individuals(12)->read_sifting(5)->write_sifting(5)->stage_out_sifting(6)->stage_in_frequency(5)->read_mutation_overlap(5)->write_mutation_overlap(5)->stage_out_mutation_overlap(12),tmpfs,beegfs,beegfs,tmpfs,ssd,28.103608,39.613014,0.001893,25.330669,0.0,0.48037,0.008748,0.00948,0.0,13.666797,0.004299,29.391062,0.088197,0.222438,0.095538,0.151693,0.056307,0.218486,0.120425,0.546232,13.666797,0.004299,0.218486,0.120425,39.613014,0.001893,28.191805000000002,55.26796300000001,0.0997273782679284,0.2914535543407761,0.6088190627503125,16,1,1
2,137.2253097818891,28.103607641140066,0.0,0.0877382858514435,39.61490739093403,13.671095796837731,0.4659443157324714,25.330669434225655,29.391062115692428,0.5602848014752922,stage_in_individuals(4)->read_individuals(150)->write_individuals(150)->stage_out_individuals(12)->read_sifting(5)->write_sifting(5)->stage_out_sifting(6)->stage_in_frequency(16)->read_frequency(5)->write_frequency(5)->stage_out_frequency(8),tmpfs,beegfs,beegfs,ssd,tmpfs,28.103608,39.613014,0.001893,25.330669,0.0,0.48037,0.008748,0.00948,0.0,13.666797,0.004299,29.391062,0.087738,0.278746,0.187199,0.560285,0.055689,0.180961,0.032524,0.151693,13.666797,0.004299,0.278746,0.187199,39.613014,0.001893,28.191346000000003,55.282016000000006,0.09962517863307606,0.2920806086261031,0.60829421433025,16,1,1
2,137.4096105246215,28.103607641140066,0.0,0.0881974768977294,39.61490739093403,13.671095796837731,1.0583772831668277,25.330669434225655,29.391062115692428,0.1516933857270378,stage_in_individuals(4)->read_individuals(150)->write_individuals(150)->stage_out_individuals(12)->read_sifting(5)->write_sifting(5)->stage_out_sifting(6)->stage_in_frequency(5)->read_mutation_overlap(5)->write_mutation_overlap(5)->stage_out_frequency(8),tmpfs,beegfs,beegfs,tmpfs,beegfs,28.103608,39.613014,0.001893,25.330669,0.0,0.48037,0.008748,0.00948,0.0,13.666797,0.004299,29.391062,0.088197,0.222438,0.095538,0.151693,0.0,0.915467,0.14291,0.0,14.582264,0.147209,0.0,0.0,39.613014,0.001893,28.191805000000002,54.87342400000001,0.10719390691643521,0.28829793526633557,0.6045081467217718,16,1,1
2,137.78099404739928,28.103607641140066,0.0,0.0556888319910282,39.61490739093403,13.671095796837731,1.462269450851291,25.330669434225655,29.391062115692428,0.1516933857270377,stage_in_individuals(4)->read_individuals(150)->write_individuals(150)->stage_out_individuals(12)->read_sifting(5)->write_sifting(5)->stage_out_sifting(6)->stage_in_mutation_overlap(5)->read_frequency(5)->write_frequency(5)->stage_out_mutation_overlap(8),tmpfs,beegfs,beegfs,beegfs,tmpfs,28.103608,39.613014,0.001893,25.330669,0.0,0.48037,0.008748,0.00948,0.0,13.666797,0.004299,29.391062,0.0,1.052539,0.409731,0.0,0.055689,0.180961,0.032524,0.151693,14.719336,0.41403,0.0,0.0,39.613014,0.001893,28.159297000000002,54.87342400000001,0.10983638276549033,0.2875208389509183,0.6026427779395653,16,1,1
