repeat,alpha_idx,ccp_alpha,fold,n_val,n_leaves_val,pairs_val,sep_val,skipped,a_eff,mae_val
0,13,0.008307239653768188,1,37,12.0,2,4.215194951362738,False,0.008307239653768188,0.3021570304132621
0,13,0.008307239653768188,2,37,13.0,2,6.826438925608461,False,0.008307239653768188,0.3446826838309816
0,13,0.008307239653768188,CV-agg,111,11.666666666666666,7,4.215194951362738,False,,0.3404336595656095
0,14,0.00830723965376822,0,37,10.0,3,3.5527307789752416,False,0.00830723965376822,0.3744612644525849
0,14,0.00830723965376822,1,37,12.0,2,4.215194951362738,False,0.00830723965376822,0.3021570304132621
0,14,0.00830723965376822,2,37,13.0,2,6.826438925608461,False,0.00830723965376822,0.3446826838309816
0,14,0.00830723965376822,CV-agg,111,11.666666666666666,7,4.215194951362738,False,,0.3404336595656095
0,15,0.008307239653768237,0,37,10.0,3,3.5527307789752416,False,0.008307239653768237,0.3744612644525849
0,15,0.008307239653768237,1,37,12.0,2,4.215194951362738,False,0.008307239653768237,0.3021570304132621
0,15,0.008307239653768237,2,37,13.0,2,6.826438925608461,False,0.008307239653768237,0.3446826838309816
0,15,0.008307239653768237,CV-agg,111,11.666666666666666,7,4.215194951362738,False,,0.3404336595656095
0,16,0.015231365149792425,0,37,10.0,3,3.5527307789752416,False,0.015231365149792425,0.3744612644525849
0,16,0.015231365149792425,1,37,11.0,3,4.308021716016872,False,0.015231365149792425,0.3337385871057696
0,16,0.015231365149792425,2,37,11.0,2,3.505381066398826,False,0.015231365149792425,0.32928865522821654
0,16,0.015231365149792425,CV-agg,111,10.666666666666666,8,3.5527307789752416,False,,0.34582950226219034
0,17,0.01742684329609869,0,37,10.0,3,3.5527307789752416,False,0.01742684329609869,0.3744612644525849
0,17,0.01742684329609869,1,37,11.0,3,4.308021716016872,False,0.01742684329609869,0.3337385871057696
0,17,0.01742684329609869,2,37,11.0,2,3.505381066398826,False,0.01742684329609869,0.32928865522821654
0,17,0.01742684329609869,CV-agg,111,10.666666666666666,8,3.5527307789752416,False,,0.34582950226219034
0,18,0.01837427562642599,0,37,10.0,3,3.5527307789752416,False,0.01837427562642599,0.3744612644525849
0,18,0.01837427562642599,1,37,11.0,3,4.308021716016872,False,0.01837427562642599,0.3337385871057696
