operation,randomOffset,transferSize,aggregateFilesizeMB,numTasks,parallelism,totalTime,numNodesList,numNodes,tasksPerNode,trMiB,storageType,opCount,taskName,taskPID,fileName,stageOrder,prevTask
read,1,5132.601040624375,244.5946445465088,96,96,3.887214203,[8],8,12,62.922862433909664,pfs,49970,run_idfeature,3678-dc155,cloudid_20160802_131500.nc,1,initial_data
read,1,5132.601040624375,244.5946445465088,96,96,3.887214203,[8],8,12,62.922862433909664,pfs,49970,run_idfeature,3678-dc155,cloudid_20160802_201500.nc,1,initial_data
read,1,5132.601040624375,244.5946445465088,96,96,3.887214203,[8],8,12,62.922862433909664,pfs,49970,run_idfeature,3678-dc155,cloudid_20160803_021500.nc,1,initial_data
read,1,5132.601040624375,244.5946445465088,96,96,3.887214203,[8],8,12,62.922862433909664,pfs,49970,run_idfeature,3678-dc155,cloudid_20160803_031500.nc,1,initial_data
read,1,5132.601040624375,244.5946445465088,96,96,3.887214203,[8],8,12,62.922862433909664,pfs,49970,run_idfeature,3678-dc155,cloudid_20160803_041500.nc,1,initial_data
read,1,5132.601040624375,244.5946445465088,96,96,3.887214203,[8],8,12,62.922862433909664,pfs,49970,run_idfeature,3678-dc155,cloudid_20160803_091500.nc,1,initial_data
write,1,5474.098252833243,154.77758884429932,96,96,0.478965589,[8],8,12,323.1497051123213,pfs,29648,run_idfeature,3678-dc155,cloudid_20160803_171500.nc,1,
read,1,5132.601040624375,244.5946445465088,96,96,3.887214203,[8],8,12,62.922862433909664,pfs,49970,run_idfeature,3678-dc155,cloudid_20160803_181500.nc,1,initial_data
read,1,5132.601040624375,244.5946445465088,96,96,3.887214203,[8],8,12,62.922862433909664,pfs,49970,run_idfeature,3678-dc155,cloudid_20160803_211500.nc,1,initial_data
read,1,5132.601040624375,244.5946445465088,96,96,3.887214203,[8],8,12,62.922862433909664,pfs,49970,run_idfeature,3678-dc155,cloudid_20160803_221500.nc,1,initial_data
read,1,5132.601040624375,244.5946445465088,96,96,3.887214203,[8],8,12,62.922862433909664,pfs,49970,run_idfeature,3678-dc155,cloudid_20160804_071500.nc,1,initial_data
read,1,5132.601040624375,244.5946445465088,96,96,3.887214203,[8],8,12,62.922862433909664,pfs,49970,run_idfeature,3678-dc155,cloudid_20160804_101500.nc,1,initial_data
read,1,5132.601040624375,244.5946445465088,96,96,3.887214203,[8],8,12,62.922862433909664,pfs,49970,run_idfeature,3678-dc155,cloudid_20160804_131500.nc,1,initial_data
