individuals_store,individuals_merge_store,sifting_store,mutation_overlap_store,frequency_store,nodes,total,o1,o2,o3,dur_individuals,dur_individuals_merge,dur_sifting,dur_mutation_overlap,dur_frequency
ssd,ssd,beegfs,beegfs,ssd,5,846259.987188663,845097.6372466636,1053.9120784078882,108.43786359143807,845097.6372466636,1053.9120784078882,0.02115105089616711,10.771634535493536,108.43786359143807
ssd,ssd,beegfs,tmpfs,ssd,5,846259.987188663,845097.6372466636,1053.9120784078882,108.43786359143807,845097.6372466636,1053.9120784078882,0.022721782953132354,2.532783879293051,108.43786359143807
ssd,ssd,beegfs,ssd,ssd,5,846259.987188663,845097.6372466636,1053.9120784078882,108.43786359143807,845097.6372466636,1053.9120784078882,0.02115105089616711,9.696563069864245,108.43786359143807
ssd,ssd,beegfs,beegfs,beegfs,5,846458.6828801828,845097.6372466636,1053.9120784078882,307.1335551112563,845097.6372466636,1053.9120784078882,0.0,10.771634535493536,307.1335551112563
ssd,ssd,beegfs,tmpfs,beegfs,5,846458.6828801828,845097.6372466636,1053.9120784078882,307.1335551112563,845097.6372466636,1053.9120784078882,0.022721782953132354,2.532783879293051,307.1335551112563
ssd,ssd,beegfs,ssd,beegfs,5,846458.6828801828,845097.6372466636,1053.9120784078882,307.1335551112563,845097.6372466636,1053.9120784078882,0.02115105089616711,9.696563069864245,307.1335551112563
ssd,beegfs,ssd,beegfs,tmpfs,5,853976.0657887268,845097.6372466636,8776.367354962518,102.06118710067722,845097.6372466636,156.42164530420203,8776.367354962518,10.771634535493536,102.06118710067722
ssd,beegfs,ssd,tmpfs,tmpfs,5,853976.0657887268,845097.6372466636,8776.367354962518,102.06118710067722,845097.6372466636,156.42164530420203,8776.367354962518,2.532783879293051,102.06118710067722
ssd,beegfs,ssd,ssd,tmpfs,5,853976.0657887268,845097.6372466636,8776.367354962518,102.06118710067722,845097.6372466636,156.42164530420203,8776.367354962518,9.696563069864245,102.06118710067722
ssd,tmpfs,ssd,beegfs,tmpfs,5,853976.0657887268,845097.6372466636,8776.367354962518,102.06118710067722,845097.6372466636,31.7776413349224,8776.367354962518,10.771634535493536,102.06118710067722
ssd,tmpfs,ssd,tmpfs,tmpfs,5,853976.0657887268,845097.6372466636,8776.367354962518,102.06118710067722,845097.6372466636,31.7776413349224,8776.367354962518,2.532783879293051,102.06118710067722
ssd,tmpfs,ssd,ssd,tmpfs,5,853976.0657887268,845097.6372466636,8776.367354962518,102.06118710067722,845097.6372466636,31.7776413349224,8776.367354962518,9.696563069864245,102.06118710067722
ssd,ssd,ssd,beegfs,tmpfs,5,853976.0657887268,845097.6372466636,8776.367354962518,102.06118710067722,845097.6372466636,1053.9120784078882,8776.367354962518,10.771634535493536,102.06118710067722
ssd,ssd,ssd,tmpfs,tmpfs,5,853976.0657887268,845097.6372466636,8776.367354962518,102.06118710067722,845097.6372466636,1053.9120784078882,8776.367354962518,2.532783879293051,102.06118710067722
ssd,ssd,ssd,ssd,tmpfs,5,853976.0657887268,845097.6372466636,8776.367354962518,102.06118710067722,845097.6372466636,1053.9120784078882,8776.367354962518,9.696563069864245,102.06118710067722
